lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,49,,,,,,,,,,,,,,
,49,0.1484900414943695,0.0024068295024335384,0.1484900414943695,49.0,0,,,,,,,,,
0.01,99,,,,,,,,,,,,,,
,99,0.15721853077411652,0.0006136829615570605,0.15721853077411652,99.0,0,,,,,,,,,
0.01,149,,,,,,,,,,,,,,
,149,0.2520218789577484,0.02517078071832657,0.2520218789577484,149.0,0,,,,,,,,,
0.01,199,,,,,,,,,,,,,,
,199,0.2855471968650818,0.0013488176045939326,0.2855471968650818,199.0,0,,,,,,,,,
0.01,249,,,,,,,,,,,,,,
,249,0.10295999050140381,0.0005190118681639433,0.10295999050140381,249.0,0,,,,,,,,,
0.01,299,,,,,,,,,,,,,,
,299,0.10756298899650574,0.0003746678994502872,0.10756298899650574,299.0,0,,,,,,,,,
0.01,349,,,,,,,,,,,,,,
,349,0.10428392887115479,0.0003890541265718639,0.10428392887115479,349.0,0,,,,,,,,,
0.01,399,,,,,,,,,,,,,,
,399,0.14448729157447815,0.001299158320762217,0.14448729157447815,399.0,0,,,,,,,,,
0.01,449,,,,,,,,,,,,,,
,449,0.010730531066656113,5.2351810154505074e-05,0.010730531066656113,449.0,0,,,,,,,,,
0.01,499,,,,,,,,,,,,,,
,499,0.24788498878479004,0.0010838934686034918,0.24788498878479004,499.0,0,,,,,,,,,
0.01,549,,,,,,,,,,,,,,
,549,0.08669670671224594,0.00029898874345235527,0.08669670671224594,549.0,0,,,,,,,,,
0.01,599,,,,,,,,,,,,,,
,599,0.22481898963451385,0.028389498591423035,0.22481898963451385,599.0,0,,,,,,,,,
,599,,,,,0,0.22679662704467773,0.029515959322452545,0.22679662704467773,0.06112883612513542,0.00021953102259431034,0.06112883612513542,,,
,599,,,,,0,,,,,,,0.1285746693611145,0.0011817709309980273,0.1285746693611145
0.01,649,,,,,,,,,,,,,,
,649,0.2782643437385559,0.0067712245509028435,0.2782643437385559,649.0,1,,,,,,,,,
0.01,699,,,,,,,,,,,,,,
,699,0.027190888300538063,0.00010045399540103972,0.027190888300538063,699.0,1,,,,,,,,,
0.01,749,,,,,,,,,,,,,,
,749,0.11041174829006195,0.0004542948445305228,0.11041174829006195,749.0,1,,,,,,,,,
0.01,799,,,,,,,,,,,,,,
,799,0.3911571502685547,0.005771261639893055,0.3911571502685547,799.0,1,,,,,,,,,
0.01,849,,,,,,,,,,,,,,
,849,0.08538268506526947,0.00030105316545814276,0.08538268506526947,849.0,1,,,,,,,,,
0.01,899,,,,,,,,,,,,,,
,899,0.06007892265915871,0.0002154937683371827,0.06007892265915871,899.0,1,,,,,,,,,
0.01,949,,,,,,,,,,,,,,
,949,0.1278151124715805,0.0011201787274330854,0.1278151124715805,949.0,1,,,,,,,,,
0.01,999,,,,,,,,,,,,,,
