lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,49,,,,,,,,,,,,,,
,49,0.22917523980140686,0.003806786611676216,0.22917523980140686,49.0,0,,,,,,,,,
0.01,99,,,,,,,,,,,,,,
,99,0.08300072699785233,0.0003235124167986214,0.08300072699785233,99.0,0,,,,,,,,,
0.01,149,,,,,,,,,,,,,,
,149,0.3545413911342621,0.035920120775699615,0.3545413911342621,149.0,0,,,,,,,,,
,149,,,,,0,0.10723353177309036,0.0006491507519967854,0.10723353177309036,0.018582994118332863,6.696506170555949e-05,0.018582994118332863,,,
,149,,,,,0,,,,,,,0.08986413478851318,0.0012169539695605636,0.08986413478851318
0.01,199,,,,,,,,,,,,,,
,199,0.07348012179136276,0.0003091067774221301,0.07348012179136276,199.0,1,,,,,,,,,
0.01,249,,,,,,,,,,,,,,
,249,0.33149877190589905,0.007353576365858316,0.33149877190589905,249.0,1,,,,,,,,,
0.01,299,,,,,,,,,,,,,,
,299,0.1316942721605301,0.00048428616719320416,0.1316942721605301,299.0,1,,,,,,,,,
,299,,,,,1,0.023851508274674416,8.877131767803803e-05,0.023851508274674416,0.15936784446239471,0.0009488541982136667,0.15936784446239471,,,
,299,,,,,1,,,,,,,0.08611621707677841,0.0007369834929704666,0.08611621707677841
0.01,349,,,,,,,,,,,,,,
,349,0.10815060138702393,0.0004165602149441838,0.10815060138702393,349.0,2,,,,,,,,,
0.01,399,,,,,,,,,,,,,,
,399,0.09007968008518219,0.0003313868655823171,0.09007968008518219,399.0,2,,,,,,,,,
0.01,449,,,,,,,,,,,,,,
,449,0.30142781138420105,0.005269522313028574,0.30142781138420105,449.0,2,,,,,,,,,
,449,,,,,2,0.07846199721097946,0.00048643501941114664,0.07846199721097946,0.0017245113849639893,1.00676370493602e-05,0.0017245113849639893,,,
,449,,,,,2,,,,,,,0.10577427595853806,0.0012648152187466621,0.10577427595853806
0.01,499,,,,,,,,,,,,,,
,499,0.09685865044593811,0.00036424631252884865,0.09685865044593811,499.0,3,,,,,,,,,
0.01,549,,,,,,,,,,,,,,
,549,0.20579662919044495,0.0010682125575840473,0.20579662919044495,549.0,3,,,,,,,,,
0.01,599,,,,,,,,,,,,,,
,599,0.018044058233499527,7.243559957714751e-05,0.018044058233499527,599.0,3,,,,,,,,,
,599,,,,,3,0.18998666107654572,0.0017663888866081834,0.18998666107654572,0.10400626808404922,0.001564871403388679,0.10400626808404922,,,
,599,,,,,3,,,,,,,0.0927218422293663,0.002405156847089529,0.0927218422293663
0.01,649,,,,,,,,,,,,,,
,649,0.29229143261909485,0.010139144957065582,0.29229143261909485,649.0,4,,,,,,,,,
0.01,699,,,,,,,,,,,,,,
,699,0.08287603408098221,0.0002794995962176472,0.08287603408098221,699.0,4,,,,,,,,,
0.01,749,,,,,,,,,,,,,,
,749,0.29024139046669006,0.005228755064308643,0.29024139046669006,749.0,4,,,,,,,,,
,749,,,,,4,0.04795515537261963,0.0001790512615116313,0.04795515537261963,0.12105437368154526,0.0009978628950193524,0.12105437368154526,,,
,749,,,,,4,,,,,,,0.091230109333992,0.0024589700624346733,0.091230109333992
0.01,799,,,,,,,,,,,,,,
,799,0.05316000059247017,0.00020440603839233518,0.05316000059247017,799.0,5,,,,,,,,,
0.01,849,,,,,,,,,,,,,,
,849,0.005461936350911856,2.7714042516890913e-05,0.005461936350911856,849.0,5,,,,,,,,,
0.01,899,,,,,,,,,,,,,,
