lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,49,,,,,,,,,,,,,,
,49,0.33016303181648254,0.005492270924150944,0.33016303181648254,49.0,0,,,,,,,,,
0.01,99,,,,,,,,,,,,,,
,99,0.10985852032899857,0.00042884561116807163,0.10985852032899857,99.0,0,,,,,,,,,
0.01,149,,,,,,,,,,,,,,
,149,0.4185355603694916,0.0421818271279335,0.4185355603694916,149.0,0,,,,,,,,,
0.01,199,,,,,,,,,,,,,,
,199,0.29163244366645813,0.0013985945843160152,0.29163244366645813,199.0,0,,,,,,,,,
0.01,249,,,,,,,,,,,,,,
,249,0.12256099283695221,0.0006172118592076004,0.12256099283695221,249.0,0,,,,,,,,,
0.01,299,,,,,,,,,,,,,,
,299,0.11340223252773285,0.0003946292563341558,0.11340223252773285,299.0,0,,,,,,,,,
0.01,349,,,,,,,,,,,,,,
,349,0.20180490612983704,0.0007708457997068763,0.20180490612983704,349.0,0,,,,,,,,,
,349,,,,,0,0.17049653828144073,0.0008883452974259853,0.17049653828144073,0.13106703758239746,0.00047815803554840386,0.13106703758239746,,,
,349,,,,,0,,,,,,,0.16412372887134552,0.0018168756505474448,0.16412372887134552
0.01,399,,,,,,,,,,,,,,
,399,0.17079636454582214,0.0006307768635451794,0.17079636454582214,399.0,1,,,,,,,,,
0.01,449,,,,,,,,,,,,,,
,449,0.47615548968315125,0.007715280167758465,0.47615548968315125,449.0,1,,,,,,,,,
0.01,499,,,,,,,,,,,,,,
,499,0.09652148932218552,0.00032774111605249345,0.09652148932218552,499.0,1,,,,,,,,,
0.01,549,,,,,,,,,,,,,,
,549,0.0031429072842001915,1.792878538253717e-05,0.0031429072842001915,549.0,1,,,,,,,,,
0.01,599,,,,,,,,,,,,,,
,599,0.11205889284610748,0.00041101491660811007,0.11205889284610748,599.0,1,,,,,,,,,
0.01,649,,,,,,,,,,,,,,
,649,0.3033389747142792,0.003694805782288313,0.3033389747142792,649.0,1,,,,,,,,,
0.01,699,,,,,,,,,,,,,,
,699,0.07508891820907593,0.00025475420989096165,0.07508891820907593,699.0,1,,,,,,,,,
,699,,,,,1,0.18535684049129486,0.000985060236416757,0.18535684049129486,0.13381461799144745,0.00046369843767024577,0.13381461799144745,,,
,699,,,,,1,,,,,,,0.16947802901268005,0.0021903575398027897,0.16947802901268005
0.01,749,,,,,,,,,,,,,,
,749,0.39803993701934814,0.006225856486707926,0.39803993701934814,749.0,2,,,,,,,,,
0.01,799,,,,,,,,,,,,,,
,799,0.012729192152619362,5.727581446990371e-05,0.012729192152619362,799.0,2,,,,,,,,,
0.01,849,,,,,,,,,,,,,,
,849,0.027782490476965904,0.00011056083167204633,0.027782490476965904,849.0,2,,,,,,,,,
0.01,899,,,,,,,,,,,,,,
,899,0.42666515707969666,0.04230894520878792,0.42666515707969666,899.0,2,,,,,,,,,
0.01,949,,,,,,,,,,,,,,
,949,0.46259641647338867,0.007092755753546953,0.46259641647338867,949.0,2,,,,,,,,,
0.01,999,,,,,,,,,,,,,,
,999,0.04004029557108879,0.0001499660429544747,0.04004029557108879,999.0,2,,,,,,,,,
0.01,1049,,,,,,,,,,,,,,
,1049,0.06668978184461594,0.0002295363083248958,0.06668978184461594,1049.0,2,,,,,,,,,
,1049,,,,,2,0.07400035858154297,0.00025371526135131717,0.07400035858154297,0.22748541831970215,0.00262765702791512,0.22748541831970215,,,
,1049,,,,,2,,,,,,,0.15735311806201935,0.0024017137475311756,0.15735311806201935
0.01,1099,,,,,,,,,,,,,,
,1099,0.30315282940864563,0.0016925821546465158,0.30315282940864563,1099.0,3,,,,,,,,,
0.01,1149,,,,,,,,,,,,,,
,1149,0.2171904295682907,0.0007891530403867364,0.2171904295682907,1149.0,3,,,,,,,,,
0.01,1199,,,,,,,,,,,,,,
,1199,0.056658148765563965,0.00019714274094440043,0.056658148765563965,1199.0,3,,,,,,,,,
0.01,1249,,,,,,,,,,,,,,
,1249,0.17161333560943604,0.0011559640988707542,0.17161333560943604,1249.0,3,,,,,,,,,
0.01,1299,,,,,,,,,,,,,,
,1299,0.006260374560952187,3.2554988138144836e-05,0.006260374560952187,1299.0,3,,,,,,,,,
0.01,1349,,,,,,,,,,,,,,
,1349,0.24004921317100525,0.0009696086635813117,0.24004921317100525,1349.0,3,,,,,,,,,
0.01,1399,,,,,,,,,,,,,,
,1399,0.12809501588344574,0.0004648251342587173,0.12809501588344574,1399.0,3,,,,,,,,,
,1399,,,,,3,0.24680019915103912,0.0009728301665745676,0.24680019915103912,0.13271214067935944,0.0006064985645934939,0.13271214067935944,,,
,1399,,,,,3,,,,,,,0.1586277186870575,0.0020200274884700775,0.1586277186870575
0.01,1449,,,,,,,,,,,,,,
,1449,0.19285689294338226,0.0008451765170320868,0.19285689294338226,1449.0,4,,,,,,,,,
0.01,1499,,,,,,,,,,,,,,
,1499,0.23277513682842255,0.001366308773867786,0.23277513682842255,1499.0,4,,,,,,,,,
0.01,1549,,,,,,,,,,,,,,
,1549,0.12058477103710175,0.0005869773449376225,0.12058477103710175,1549.0,4,,,,,,,,,
0.01,1599,,,,,,,,,,,,,,
,1599,0.21929360926151276,0.0010828378144651651,0.21929360926151276,1599.0,4,,,,,,,,,
0.01,1649,,,,,,,,,,,,,,
,1649,0.029149029403924942,0.000109517750388477,0.029149029403924942,1649.0,4,,,,,,,,,
0.01,1699,,,,,,,,,,,,,,
,1699,0.09566187113523483,0.0003239151556044817,0.09566187113523483,1699.0,4,,,,,,,,,
0.01,1749,,,,,,,,,,,,,,
,1749,0.2380085289478302,0.000845637870952487,0.2380085289478302,1749.0,4,,,,,,,,,
,1749,,,,,4,0.23252031207084656,0.0023019404616206884,0.23252031207084656,0.12168192118406296,0.0005324132507666945,0.12168192118406296,,,
,1749,,,,,4,,,,,,,0.16405193507671356,0.0018570463871583343,0.16405193507671356
0.01,1799,,,,,,,,,,,,,,
,1799,0.11363563686609268,0.0004107468412257731,0.11363563686609268,1799.0,5,,,,,,,,,
0.01,1849,,,,,,,,,,,,,,
,1849,0.0700080394744873,0.00023489099112339318,0.0700080394744873,1849.0,5,,,,,,,,,
0.01,1899,,,,,,,,,,,,,,
,1899,0.15846580266952515,0.0005442330148071051,0.15846580266952515,1899.0,5,,,,,,,,,
0.01,1949,,,,,,,,,,,,,,
,1949,0.027504101395606995,0.00010173625196330249,0.027504101395606995,1949.0,5,,,,,,,,,
0.01,1999,,,,,,,,,,,,,,
,1999,0.058749064803123474,0.00020186579786241055,0.058749064803123474,1999.0,5,,,,,,,,,
0.01,2049,,,,,,,,,,,,,,
,2049,0.057132601737976074,0.00019115419127047062,0.057132601737976074,2049.0,5,,,,,,,,,
0.01,2099,,,,,,,,,,,,,,
,2099,0.12560343742370605,0.0006374304066412151,0.12560343742370605,2099.0,5,,,,,,,,,
,2099,,,,,5,0.21354667842388153,0.0012042325688526034,0.21354667842388153,0.15758545696735382,0.001181945321150124,0.15758545696735382,,,
,2099,,,,,5,,,,,,,0.16402539610862732,0.004036800470203161,0.16402539610862732
0.01,2149,,,,,,,,,,,,,,
,2149,0.07543334364891052,0.0002515861124265939,0.07543334364891052,2149.0,6,,,,,,,,,
0.01,2199,,,,,,,,,,,,,,
,2199,0.27883023023605347,0.0013336099218577147,0.27883023023605347,2199.0,6,,,,,,,,,
0.01,2249,,,,,,,,,,,,,,
,2249,0.15246933698654175,0.0006595349404960871,0.15246933698654175,2249.0,6,,,,,,,,,
0.01,2299,,,,,,,,,,,,,,
,2299,0.2040495127439499,0.001962443348020315,0.2040495127439499,2299.0,6,,,,,,,,,
0.01,2349,,,,,,,,,,,,,,
,2349,0.3839983642101288,0.006801559589803219,0.3839983642101288,2349.0,6,,,,,,,,,
0.01,2399,,,,,,,,,,,,,,
,2399,0.05686585232615471,0.0001965569972526282,0.05686585232615471,2399.0,6,,,,,,,,,
0.01,2449,,,,,,,,,,,,,,
,2449,0.2637683153152466,0.0009750257013365626,0.2637683153152466,2449.0,6,,,,,,,,,
,2449,,,,,6,0.12723644077777863,0.0006223623640835285,0.12723644077777863,0.11256648600101471,0.00045544738532043993,0.11256648600101471,,,
,2449,,,,,6,,,,,,,0.15314611792564392,0.003313175169751048,0.15314611792564392
0.01,2499,,,,,,,,,,,,,,
,2499,0.19580437242984772,0.0007927666883915663,0.19580437242984772,2499.0,7,,,,,,,,,
0.01,2549,,,,,,,,,,,,,,
,2549,0.11645020544528961,0.0003837003605440259,0.11645020544528961,2549.0,7,,,,,,,,,
0.01,2599,,,,,,,,,,,,,,
,2599,0.24723279476165771,0.001445575151592493,0.24723279476165771,2599.0,7,,,,,,,,,
0.01,2649,,,,,,,,,,,,,,
,2649,0.14057619869709015,0.0005182891618460417,0.14057619869709015,2649.0,7,,,,,,,,,
0.01,2699,,,,,,,,,,,,,,
,2699,0.011223752982914448,5.02006514579989e-05,0.011223752982914448,2699.0,7,,,,,,,,,
0.01,2749,,,,,,,,,,,,,,
,2749,0.1771976500749588,0.0006798611721023917,0.1771976500749588,2749.0,7,,,,,,,,,
0.01,2799,,,,,,,,,,,,,,
,2799,0.06180020049214363,0.00021056363766547292,0.06180020049214363,2799.0,7,,,,,,,,,
,2799,,,,,7,0.13307783007621765,0.0004501569492276758,0.13307783007621765,0.16302362084388733,0.0008447759901173413,0.16302362084388733,,,
,2799,,,,,7,,,,,,,0.15939658880233765,0.003532459493726492,0.15939658880233765
0.01,2849,,,,,,,,,,,,,,
,2849,0.07789020240306854,0.00027337842038832605,0.07789020240306854,2849.0,8,,,,,,,,,
0.01,2899,,,,,,,,,,,,,,
,2899,0.5907827615737915,0.23537781834602356,0.5907827615737915,2899.0,8,,,,,,,,,
0.01,2949,,,,,,,,,,,,,,
,2949,0.12992063164710999,0.0004446535895112902,0.12992063164710999,2949.0,8,,,,,,,,,
0.01,2999,,,,,,,,,,,,,,
,2999,0.09225980937480927,0.00030951376538723707,0.09225980937480927,2999.0,8,,,,,,,,,
0.01,3049,,,,,,,,,,,,,,
,3049,0.0684167891740799,0.00023391803551930934,0.0684167891740799,3049.0,8,,,,,,,,,
0.01,3099,,,,,,,,,,,,,,
,3099,0.23154717683792114,0.00118839752394706,0.23154717683792114,3099.0,8,,,,,,,,,
0.01,3149,,,,,,,,,,,,,,
,3149,0.020719433203339577,8.497129601892084e-05,0.020719433203339577,3149.0,8,,,,,,,,,
,3149,,,,,8,0.0796600803732872,0.00031099075567908585,0.0796600803732872,0.26155146956443787,0.002273367717862129,0.26155146956443787,,,
,3149,,,,,8,,,,,,,0.1615571677684784,0.0036802790127694607,0.1615571677684784
0.01,3199,,,,,,,,,,,,,,
,3199,0.3962266743183136,0.00219707447104156,0.3962266743183136,3199.0,9,,,,,,,,,
0.01,3249,,,,,,,,,,,,,,
,3249,0.011399499140679836,5.159476131666452e-05,0.011399499140679836,3249.0,9,,,,,,,,,
0.01,3299,,,,,,,,,,,,,,
