lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,49,,,,,,,,,,,,,,
,49,0.18874147534370422,0.0031154262833297253,0.18874147534370422,49.0,0,,,,,,,,,
0.01,99,,,,,,,,,,,,,,
,99,0.06857612729072571,0.00026801147032529116,0.06857612729072571,99.0,0,,,,,,,,,
0.01,149,,,,,,,,,,,,,,
,149,0.35966455936431885,0.03641564026474953,0.35966455936431885,149.0,0,,,,,,,,,
0.01,199,,,,,,,,,,,,,,
,199,0.16089726984500885,0.0007603389676660299,0.16089726984500885,199.0,0,,,,,,,,,
0.01,249,,,,,,,,,,,,,,
,249,0.08735240250825882,0.0004404745704960078,0.08735240250825882,249.0,0,,,,,,,,,
0.01,299,,,,,,,,,,,,,,
,299,0.04003097489476204,0.00014076373190619051,0.04003097489476204,299.0,0,,,,,,,,,
,299,,,,,0,0.053224775940179825,0.00019834500562865287,0.053224775940179825,0.09156592935323715,0.00040848084609024227,0.09156592935323715,,,
,299,,,,,0,,,,,,,0.10570307075977325,0.001257317140698433,0.10570307075977325
0.01,349,,,,,,,,,,,,,,
,349,0.07631808519363403,0.0002509935002308339,0.07631808519363403,349.0,1,,,,,,,,,
0.01,399,,,,,,,,,,,,,,
,399,0.19151726365089417,0.0009846866596490145,0.19151726365089417,399.0,1,,,,,,,,,
0.01,449,,,,,,,,,,,,,,
,449,0.02843489497900009,9.954441338777542e-05,0.02843489497900009,449.0,1,,,,,,,,,
0.01,499,,,,,,,,,,,,,,
,499,0.015755509957671165,6.903379107825458e-05,0.015755509957671165,499.0,1,,,,,,,,,
0.01,549,,,,,,,,,,,,,,
,549,0.18613293766975403,0.0008205022313632071,0.18613293766975403,549.0,1,,,,,,,,,
0.01,599,,,,,,,,,,,,,,
,599,0.011726045049726963,5.1215240091551095e-05,0.011726045049726963,599.0,1,,,,,,,,,
,599,,,,,1,0.1220942959189415,0.0005025424179621041,0.1220942959189415,0.05802130326628685,0.00021102376922499388,0.05802130326628685,,,
,599,,,,,1,,,,,,,0.11806321144104004,0.0020947863813489676,0.11806321144104004
0.01,649,,,,,,,,,,,,,,
,649,0.21871675550937653,0.005574059672653675,0.21871675550937653,649.0,2,,,,,,,,,
0.01,699,,,,,,,,,,,,,,
,699,0.030032604932785034,0.00010881797061301768,0.030032604932785034,699.0,2,,,,,,,,,
0.01,749,,,,,,,,,,,,,,
,749,0.11157407611608505,0.00045869508176110685,0.11157407611608505,749.0,2,,,,,,,,,
0.01,799,,,,,,,,,,,,,,
,799,0.4569553732872009,0.00687395129352808,0.4569553732872009,799.0,2,,,,,,,,,
0.01,849,,,,,,,,,,,,,,
,849,0.04413742944598198,0.00015661289216950536,0.04413742944598198,849.0,2,,,,,,,,,
0.01,899,,,,,,,,,,,,,,
,899,0.030999019742012024,0.00011106420424766839,0.030999019742012024,899.0,2,,,,,,,,,
,899,,,,,2,0.08343333005905151,0.000382324680685997,0.08343333005905151,0.16977381706237793,0.012161956168711185,0.16977381706237793,,,
,899,,,,,2,,,,,,,0.11243794858455658,0.0021700942888855934,0.11243794858455658
0.01,949,,,,,,,,,,,,,,
,949,0.27535513043403625,0.0032925482373684645,0.27535513043403625,949.0,3,,,,,,,,,
0.01,999,,,,,,,,,,,,,,
,999,0.1415555328130722,0.0007858004537411034,0.1415555328130722,999.0,3,,,,,,,,,
0.01,1049,,,,,,,,,,,,,,
,1049,0.061695605516433716,0.00020356786262709647,0.061695605516433716,1049.0,3,,,,,,,,,
0.01,1099,,,,,,,,,,,,,,
,1099,0.013750066049396992,5.53526115254499e-05,0.013750066049396992,1099.0,3,,,,,,,,,
0.01,1149,,,,,,,,,,,,,,
,1149,0.03145531937479973,0.00011010035086655989,0.03145531937479973,1149.0,3,,,,,,,,,
0.01,1199,,,,,,,,,,,,,,
,1199,0.00951132457703352,4.4637003156822175e-05,0.00951132457703352,1199.0,3,,,,,,,,,
,1199,,,,,3,0.10352534055709839,0.0004972321330569685,0.10352534055709839,0.13575078547000885,0.0008385241962969303,0.13575078547000885,,,
,1199,,,,,3,,,,,,,0.09857097268104553,0.0010075264144688845,0.09857097268104553
0.01,1249,,,,,,,,,,,,,,
,1249,0.1840381771326065,0.0012420903658494353,0.1840381771326065,1249.0,4,,,,,,,,,
0.01,1299,,,,,,,,,,,,,,
,1299,0.005174777004867792,2.7089843570138328e-05,0.005174777004867792,1299.0,4,,,,,,,,,
0.01,1349,,,,,,,,,,,,,,
,1349,0.09450242668390274,0.0003850924549624324,0.09450242668390274,1349.0,4,,,,,,,,,
0.01,1399,,,,,,,,,,,,,,
,1399,0.0577547587454319,0.00021191060659475625,0.0577547587454319,1399.0,4,,,,,,,,,
0.01,1449,,,,,,,,,,,,,,
,1449,0.2546059191226959,0.001410660450346768,0.2546059191226959,1449.0,4,,,,,,,,,
0.01,1499,,,,,,,,,,,,,,
,1499,0.11440317332744598,0.00039835175266489387,0.11440317332744598,1499.0,4,,,,,,,,,
,1499,,,,,4,0.14711426198482513,0.0013242099666967988,0.14711426198482513,0.04176394268870354,0.00020277446310501546,0.04176394268870354,,,
,1499,,,,,4,,,,,,,0.10648223012685776,0.0015802053967490792,0.10648223012685776
0.01,1549,,,,,,,,,,,,,,
,1549,0.11044597625732422,0.0007091250154189765,0.11044597625732422,1549.0,5,,,,,,,,,
0.01,1599,,,,,,,,,,,,,,
,1599,0.11317423731088638,0.000414116308093071,0.11317423731088638,1599.0,5,,,,,,,,,
0.01,1649,,,,,,,,,,,,,,
,1649,0.05164125934243202,0.00017625631880946457,0.05164125934243202,1649.0,5,,,,,,,,,
0.01,1699,,,,,,,,,,,,,,
,1699,0.2059255987405777,0.0025157653726637363,0.2059255987405777,1699.0,5,,,,,,,,,
0.01,1749,,,,,,,,,,,,,,
,1749,0.03082858771085739,0.00011259023449383676,0.03082858771085739,1749.0,5,,,,,,,,,
0.01,1799,,,,,,,,,,,,,,
,1799,0.08968321979045868,0.0002991983201354742,0.08968321979045868,1799.0,5,,,,,,,,,
,1799,,,,,5,0.24238039553165436,0.07010749727487564,0.24238039553165436,0.10635236650705338,0.0005796453333459795,0.10635236650705338,,,
,1799,,,,,5,,,,,,,0.10444240272045135,0.001447163289412856,0.10444240272045135
0.01,1849,,,,,,,,,,,,,,
,1849,0.0315815806388855,0.00011148920748382807,0.0315815806388855,1849.0,6,,,,,,,,,
0.01,1899,,,,,,,,,,,,,,
,1899,0.10170258581638336,0.0004008475807495415,0.10170258581638336,1899.0,6,,,,,,,,,
0.01,1949,,,,,,,,,,,,,,
,1949,0.34395021200180054,0.0041014812886714935,0.34395021200180054,1949.0,6,,,,,,,,,
0.01,1999,,,,,,,,,,,,,,
,1999,0.09297467023134232,0.0005014890339225531,0.09297467023134232,1999.0,6,,,,,,,,,
0.01,2049,,,,,,,,,,,,,,
,2049,0.24417045712471008,0.0018644570372998714,0.24417045712471008,2049.0,6,,,,,,,,,
0.01,2099,,,,,,,,,,,,,,
,2099,0.06914626806974411,0.00022976014588493854,0.06914626806974411,2099.0,6,,,,,,,,,
,2099,,,,,6,0.07507181912660599,0.0011899340897798538,0.07507181912660599,0.09404046088457108,0.0012531386455520988,0.09404046088457108,,,
,2099,,,,,6,,,,,,,0.10911785066127777,0.004674690775573254,0.10911785066127777
0.01,2149,,,,,,,,,,,,,,
,2149,0.070450060069561,0.00024961968301795423,0.070450060069561,2149.0,7,,,,,,,,,
0.01,2199,,,,,,,,,,,,,,
,2199,0.04599799960851669,0.00016076245810836554,0.04599799960851669,2199.0,7,,,,,,,,,
0.01,2249,,,,,,,,,,,,,,
,2249,0.27963361144065857,0.0019637993536889553,0.27963361144065857,2249.0,7,,,,,,,,,
0.01,2299,,,,,,,,,,,,,,
,2299,0.010276611894369125,4.3189873395022005e-05,0.010276611894369125,2299.0,7,,,,,,,,,
0.01,2349,,,,,,,,,,,,,,
