lr-AdamW,step,train/loss_simple_step,train/loss_vlb_step,train/loss_step,global_step,epoch,val/loss_simple,val/loss_vlb,val/loss,val/loss_simple_ema,val/loss_vlb_ema,val/loss_ema,train/loss_simple_epoch,train/loss_vlb_epoch,train/loss_epoch
0.01,49,,,,,,,,,,,,,,
,49,0.31019192934036255,0.0051504988223314285,0.31019192934036255,49.0,0,,,,,,,,,
0.01,99,,,,,,,,,,,,,,
,99,0.15756310522556305,0.0006145365186966956,0.15756310522556305,99.0,0,,,,,,,,,
0.01,149,,,,,,,,,,,,,,
,149,0.4336610436439514,0.04365644231438637,0.4336610436439514,149.0,0,,,,,,,,,
0.01,199,,,,,,,,,,,,,,
,199,0.2855474054813385,0.00136736617423594,0.2855474054813385,199.0,0,,,,,,,,,
0.01,249,,,,,,,,,,,,,,
,249,0.1946803480386734,0.0009798773098737001,0.1946803480386734,249.0,0,,,,,,,,,
0.01,299,,,,,,,,,,,,,,
,299,0.10277785360813141,0.0003590992419049144,0.10277785360813141,299.0,0,,,,,,,,,
0.01,349,,,,,,,,,,,,,,
,349,0.18707114458084106,0.0007160512614063919,0.18707114458084106,349.0,0,,,,,,,,,
,349,,,,,0,0.15558919310569763,0.0007976251654326916,0.15558919310569763,0.13936229050159454,0.0005197481950744987,0.13936229050159454,,,
,349,,,,,0,,,,,,,0.17448817193508148,0.0019196484936401248,0.17448817193508148
0.01,399,,,,,,,,,,,,,,
,399,0.16474264860153198,0.0006072693504393101,0.16474264860153198,399.0,1,,,,,,,,,
0.01,449,,,,,,,,,,,,,,
,449,0.48430585861206055,0.007497046142816544,0.48430585861206055,449.0,1,,,,,,,,,
0.01,499,,,,,,,,,,,,,,
,499,0.08617417514324188,0.00029314454877749085,0.08617417514324188,499.0,1,,,,,,,,,
0.01,549,,,,,,,,,,,,,,
,549,0.0032896907068789005,1.8760227249003947e-05,0.0032896907068789005,549.0,1,,,,,,,,,
0.01,599,,,,,,,,,,,,,,
,599,0.16062772274017334,0.0005904147401452065,0.16062772274017334,599.0,1,,,,,,,,,
0.01,649,,,,,,,,,,,,,,
,649,0.2815282344818115,0.0034236472565680742,0.2815282344818115,649.0,1,,,,,,,,,
0.01,699,,,,,,,,,,,,,,
,699,0.07984823733568192,0.0002724798396229744,0.07984823733568192,699.0,1,,,,,,,,,
,699,,,,,1,0.2109493464231491,0.001140027423389256,0.2109493464231491,0.13529086112976074,0.00046682762331329286,0.13529086112976074,,,
